Anweisung,Instruction_trials,Resting_trials.thisRepN,Resting_trials.thisTrialN,Resting_trials.thisN,Resting_trials.thisIndex,sound_instruct.started,sound_instruct.stopped,text_instruct.started,text_instruct.stopped,key_resp_instruct.keys,key_resp_instruct.rt,key_resp_instruct.started,key_resp_instruct.stopped,sound_start_recording.started,sound_start_recording.stopped,sound_trial.started,sound_trial.stopped,fixation_cross.started,fixation_cross.stopped,sound_end_recording.started,sound_end_recording.stopped,participant,language,parellel port,date,expName,psychopyVersion,frameRate,
,,,,,,16.514379066756618,None,16.50933310005348,None,space,0.16384119994472712,46.483734100009315,None,,,,,,,,,1,English,03F8,2022-05-20_14h46.52.193,Resting_EEG,2022.1.3,345.85680810339574,
audio\auf.wav,Instruction_close.wav,0,0,0,0,,,,,,,,,46.66784086666691,None,49.66738006676702,None,49.66611560003366,None,,,1,English,03F8,2022-05-20_14h46.52.193,Resting_EEG,2022.1.3,345.85680810339574,
audio\zu.wav,Instruction_open.wav,0,1,1,1,,,,,,,,,,,112.66756646667297,None,112.65950479998719,112.65950479998719,,,1,English,03F8,2022-05-20_14h46.52.193,Resting_EEG,2022.1.3,345.85680810339574,
audio\zu_lassen.wav,Instruction_leave_open.wav,0,2,2,2,,,,,,,,,,,175.66126556665793,None,175.65068990003783,175.65068990003783,,,1,English,03F8,2022-05-20_14h46.52.193,Resting_EEG,2022.1.3,345.85680810339574,
audio\auf.wav,Instruction_close.wav,0,3,3,3,,,,,,,,,,,238.6518288667469,None,238.6410967000993,238.6410967000993,,,1,English,03F8,2022-05-20_14h46.52.193,Resting_EEG,2022.1.3,345.85680810339574,
audio\zu.wav,Instruction_open.wav,0,4,4,4,,,,,,,,,,,301.6422127667504,None,301.63224840001203,301.63224840001203,,,1,English,03F8,2022-05-20_14h46.52.193,Resting_EEG,2022.1.3,345.85680810339574,
audio\auf.wav,Instruction_close.wav,0,5,5,5,,,,,,,,,,,364.63217656669826,None,364.62331789999735,364.62331789999735,,,1,English,03F8,2022-05-20_14h46.52.193,Resting_EEG,2022.1.3,345.85680810339574,
audio\auf_lassen.wav,Instruction_leave_closed.wav,0,6,6,6,,,,,,,,,,,427.6262508667462,None,427.6266784000909,427.6266784000909,,,1,English,03F8,2022-05-20_14h46.52.193,Resting_EEG,2022.1.3,345.85680810339574,
audio\zu.wav,Instruction_open.wav,0,7,7,7,,,,,,,,,,,490.62759676675,None,490.61740680004004,490.61740680004004,,,1,English,03F8,2022-05-20_14h46.52.193,Resting_EEG,2022.1.3,345.85680810339574,
,,,,,,,,,,,,,,,,,,,,553.6181367666616,None,,,,,,,,
