2.2737 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
12.7513 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000026B1E4BC580>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000026B1EC815E0>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
12.7515 	EXP 	window1: mouseVisible = True
12.7515 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
12.7516 	EXP 	window1: recordFrameIntervals = False
12.7679 	EXP 	window1: recordFrameIntervals = True
12.7743 	WARNING 	t of last frame was 3.90ms (=1/256)
12.7870 	EXP 	Screen (0) actual frame rate measured at 562.77Hz
12.7870 	EXP 	window1: recordFrameIntervals = False
15.6916 	EXP 	Sound sound_instruct set volume 1.000
15.7159 	EXP 	Created text_instruct = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text_instruct', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='norm', win=Window(...), wrapWidth=1)
15.7160 	EXP 	Sound sound_start_recording set volume 1.000
15.7161 	EXP 	Sound sound_trial set volume 1.000
15.7692 	EXP 	Created fixation_cross = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='fixation_cross', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='+', units='norm', win=Window(...), wrapWidth=1)
15.7693 	EXP 	Sound sound_end_recording set volume 1.000
15.7695 	EXP 	window1: mouseVisible = False
15.8601 	EXP 	text_instruct: height = 0.1
15.8601 	EXP 	text_instruct: height = 0.1
15.8601 	EXP 	text_instruct: text = 'First, processes of the brain will be examined under relaxation conditions. It is therefore very important in this part of the experiment that you relax as much as possible. During the recording of the resting EEG, you will be instructed to open or close your eyes. If you are instructed to open your eyes or to keep them open, please direct your relaxed gaze at the monitor. If you are instructed to close your eyes or to keep them closed, follow this instruction in a relaxed manner. To begin, press the space bar.'
15.8601 	EXP 	text_instruct: autoDraw = True
23.5330 	DATA 	Mouse: Left button down, pos=(1655,452)
23.6583 	DATA 	Mouse:  Left button up, pos=(1655,452)
32.3550 	DATA 	Keypress: space
40.6618 	DATA 	Keypress: space
41.8310 	DATA 	Keypress: space
42.6482 	DATA 	Keypress: space
43.2903 	DATA 	Keypress: space
43.7081 	DATA 	Keypress: space
44.5055 	DATA 	Keypress: space
45.6476 	DATA 	Keypress: space
46.5456 	DATA 	Keypress: space
47.5004 	DATA 	Keypress: space
48.0383 	DATA 	Keypress: space
48.7951 	DATA 	Keypress: space
49.6944 	DATA 	Keypress: space
50.5357 	DATA 	Keypress: space
51.2060 	DATA 	Keypress: space
52.1896 	DATA 	Keypress: space
53.1406 	DATA 	Keypress: space
53.9724 	DATA 	Keypress: space
54.8512 	DATA 	Keypress: space
55.8528 	DATA 	Keypress: space
57.0481 	DATA 	Keypress: space
57.8836 	DATA 	Keypress: space
58.8495 	DATA 	Keypress: space
59.5910 	DATA 	Mouse: Left button down, pos=(1655,452)
59.7126 	DATA 	Mouse:  Left button up, pos=(1655,452)
60.1466 	DATA 	Keypress: space
60.8431 	DATA 	Keypress: space
61.0579 	DATA 	Keypress: space
61.1804 	DATA 	Keypress: space
61.7045 	DATA 	Keypress: space
61.7423 	DATA 	Keypress: space
61.7875 	DATA 	Keypress: space
61.8219 	DATA 	Keypress: space
61.8708 	DATA 	Keypress: space
61.8963 	DATA 	Keypress: space
61.9362 	DATA 	Keypress: space
61.9676 	DATA 	Keypress: space
62.0053 	DATA 	Keypress: space
62.0597 	DATA 	Keypress: space
62.0777 	DATA 	Keypress: space
62.1149 	DATA 	Keypress: space
62.1594 	DATA 	Keypress: space
62.5769 	DATA 	Keypress: space
62.8602 	EXP 	text_instruct: autoDraw = False
63.0830 	DATA 	Keypress: space
63.0891 	EXP 	text_instruct: autoDraw = False
66.0944 	EXP 	Imported Cond1_Resting_EEG_trials.xlsx as conditions, 8 conditions, 2 params
66.0951 	EXP 	Created sequence: sequential, trialTypes=8, nReps=1, seed=None
66.0957 	EXP 	New trial (rep=0, index=0): {'Anweisung': 'audio\\auf.wav', 'Instruction_trials': 'Instruction_open.wav'}
66.1019 	EXP 	fixation_cross: autoDraw = True
93.7241 	DATA 	Mouse: Left button down, pos=(1353,470)
93.7878 	DATA 	Mouse:  Left button up, pos=(1353,470)
129.0878 	EXP 	New trial (rep=0, index=1): {'Anweisung': 'audio\\zu.wav', 'Instruction_trials': 'Instruction_close.wav'}
129.0929 	EXP 	fixation_cross: autoDraw = False
129.0929 	EXP 	fixation_cross: autoDraw = True
135.0857 	DATA 	Mouse: Left button down, pos=(1285,378)
135.1670 	DATA 	Mouse:  Left button up, pos=(1285,378)
135.8855 	DATA 	Keypress: escape
136.9168 	EXP 	window1: mouseVisible = True
